x,y,rho,u,v,p,uu,vv,ww,_uv
0.23498762,-0.98086393,1.0020472,0.87699997,0.21300651,1.0029589,1.36E-08,6.63E-08,4.95E-13,3.75E-06
0.2458446,-0.98086393,1.0020478,0.87725866,0.21211877,1.0029584,4.40E-07,5.24E-08,5.17E-13,3.71E-06
0.25670159,-0.98086393,1.002048,0.87753171,0.21123914,1.0029594,2.16E-06,8.30E-08,5.46E-13,6.55E-08
0.26755857,-0.98086393,1.0020467,0.87782788,0.21037054,1.0029589,1.63E-06,5.15E-08,5.80E-13,1.02E-06
0.27841559,-0.98086393,1.0020462,0.87814122,0.20950946,1.0029562,1.66E-06,1.43E-07,6.21E-13,1.68E-06
0.28927258,-0.98086393,1.0020454,0.87846398,0.2086591,1.0029535,3.95E-07,5.08E-08,6.67E-13,1.67E-06
0.30012956,-0.98086393,1.0020454,0.87879461,0.20781827,1.0029509,3.19E-06,0,7.16E-13,-7.62E-07
0.31098655,-0.98086393,1.0020452,0.87914228,0.20698637,1.0029359,1.39E-05,1.03E-06,7.68E-13,-2.48E-06
0.32184353,-0.98086393,1.0020397,0.87951827,0.20616883,1.0029327,1.96E-07,1.18E-07,8.21E-13,9.90E-07
0.33270052,-0.98086393,1.0020376,0.87988895,0.20536062,1.0029298,1.63E-05,8.43E-07,8.75E-13,-3.29E-06
0.34355754,-0.98086393,1.0020291,0.88029057,0.20456727,1.0029216,4.35E-06,3.86E-07,9.27E-13,-4.63E-07
0.35441452,-0.98086393,1.002027,0.88069659,0.2037835,1.0029197,2.90E-06,3.58E-07,9.78E-13,9.57E-07
0.36527151,-0.98086393,1.0020248,0.88110977,0.20301095,1.0029156,5.00E-06,5.00E-07,1.03E-12,-4.05E-07
0.37612849,-0.98086393,1.0020126,0.88154268,0.20225306,1.0029112,2.41E-06,9.49E-08,1.08E-12,3.11E-06
0.38698548,-0.98086393,1.0020087,0.88198167,0.20150253,1.0028896,4.69E-06,4.41E-07,1.12E-12,5.55E-07
0.39784247,-0.98086393,1.0020051,0.88242525,0.20076855,1.0028855,2.01E-06,2.09E-07,1.17E-12,-7.47E-07
0.40869948,-0.98086393,1.0019991,0.88288605,0.20004719,1.0028791,1.08E-06,5.37E-08,1.22E-12,1.31E-06
0.41955647,-0.98086393,1.00199,0.88335812,0.19933799,1.0028762,9.73E-07,9.45E-08,1.27E-12,1.87E-06
0.43041345,-0.98086393,1.0019853,0.88383549,0.19863966,1.0028677,6.85E-07,9.59E-08,1.32E-12,1.06E-06
0.44127044,-0.98086393,1.001983,0.88431221,0.1979564,1.0028472,1.21E-05,2.10E-08,1.37E-12,-6.78E-07
0.45212743,-0.98086393,1.0019789,0.88480794,0.19728445,1.0028415,5.47E-06,4.96E-07,1.42E-12,-3.56E-07
0.46298441,-0.98086393,1.0019727,0.88530797,0.19662765,1.0028349,1.19E-05,3.50E-08,1.46E-12,-2.07E-06
0.47384143,-0.98086393,1.0019637,0.8858217,0.19598392,1.0028288,3.34E-06,1.37E-07,1.50E-12,-1.70E-07
0.48469841,-0.98086393,1.001959,0.88634139,0.19535138,1.0028195,1.13E-06,5.72E-07,1.53E-12,-4.53E-08
0.4955554,-0.98086393,1.0019447,0.88686758,0.19473368,1.0028005,1.75E-06,1.33E-07,1.55E-12,1.86E-06
0.50641239,-0.98086393,1.0019348,0.88740075,0.19412902,1.0027895,1.44E-07,0,1.56E-12,1.79E-06
0.51726937,-0.98086393,1.0019239,0.88793784,0.19353814,1.0027821,7.48E-07,0,1.56E-12,3.03E-06
0.52812636,-0.98086393,1.0019192,0.88847417,0.19295852,1.0027754,1.07E-06,1.34E-07,1.54E-12,2.51E-06
0.53898335,-0.98086393,1.0019166,0.88901389,0.19239104,1.002755,2.74E-07,4.00E-07,1.52E-12,-8.17E-08
0.54984033,-0.98086393,1.001911,0.88955814,0.19183689,1.0027411,8.43E-06,3.18E-07,1.48E-12,-2.22E-06
0.56069732,-0.98086393,1.001899,0.8901152,0.19129807,1.0027351,1.74E-06,2.21E-07,1.44E-12,-4.29E-07
0.57155436,-0.98086393,1.0018933,0.89067215,0.19077125,1.002728,2.13E-06,2.02E-07,1.38E-12,-8.06E-07
0.58241135,-0.98086393,1.0018765,0.89123684,0.19025813,1.0027045,3.96E-07,2.68E-08,1.33E-12,1.77E-06
0.59326833,-0.98086393,1.0018675,0.89179832,0.18975686,1.0026937,0,0,1.26E-12,2.18E-06
0.60412532,-0.98086393,1.001857,0.89236504,0.1892671,1.0026853,0,9.37E-09,1.20E-12,1.53E-06
0.61498231,-0.98086393,1.0018535,0.8929292,0.18878978,1.0026629,4.33E-07,2.18E-08,1.14E-12,2.49E-07
0.62583929,-0.98086393,1.0018488,0.89349562,0.18832377,1.0026513,4.52E-06,5.05E-07,1.08E-12,-1.78E-06
0.63669628,-0.98086393,1.001839,0.89407176,0.18787299,1.0026447,5.88E-06,3.31E-07,1.03E-12,1.10E-06
0.64755327,-0.98086393,1.0018287,0.89464557,0.18743201,1.0026343,2.72E-06,4.42E-07,9.78E-13,3.69E-08
0.65841025,-0.98086393,1.0018098,0.89521956,0.18700472,1.002611,5.65E-06,8.18E-08,9.38E-13,1.17E-07
0.66926724,-0.98086393,1.0018053,0.89579266,0.18658824,1.0026006,6.15E-06,1.50E-07,9.05E-13,-3.80E-07
0.68012422,-0.98086393,1.0017943,0.89637488,0.18618418,1.0025907,1.94E-07,9.01E-08,8.80E-13,3.37E-06
0.69098121,-0.98086393,1.0017873,0.8969444,0.18578912,1.0025671,1.10E-06,2.07E-07,8.65E-13,-2.04E-07
0.70183825,-0.98086393,1.0017815,0.89751625,0.18540727,1.0025567,9.49E-06,1.09E-07,8.57E-13,-2.09E-06
0.71269524,-0.98086393,1.0017676,0.8980996,0.18503638,1.00255,1.99E-06,2.16E-07,8.58E-13,8.64E-07
0.72355223,-0.98086393,1.0017617,0.89866966,0.18467541,1.0025311,1.13E-05,4.49E-07,8.66E-13,-1.54E-06
0.73440921,-0.98086393,1.001745,0.89925152,0.18432602,1.0025113,4.52E-07,1.55E-07,8.80E-13,7.75E-07
0.7452662,-0.98086393,1.0017346,0.89981949,0.18398979,1.0025049,6.26E-06,5.22E-08,9.00E-13,1.38E-06
0.75612319,-0.98086393,1.0017245,0.90039128,0.1836589,1.0024797,9.87E-06,1.06E-08,9.23E-13,-1.21E-06
0.76698017,-0.98086393,1.0017195,0.90096402,0.18334055,1.0024693,1.28E-05,2.56E-07,9.50E-13,-5.78E-07
0.77783716,-0.98086393,1.0017129,0.90152687,0.18303065,1.0024624,2.00E-05,8.25E-07,9.78E-13,-2.63E-06
0.78869414,-0.98086393,1.0017003,0.90210116,0.1827337,1.002441,1.23E-05,1.89E-07,1.01E-12,-2.00E-06
0.79955113,-0.98086393,1.0016822,0.90267837,0.18244618,1.002423,2.48E-06,1.47E-08,1.03E-12,2.74E-06
0.81040812,-0.98086393,1.0016766,0.90324062,0.18216565,1.0024182,2.12E-06,8.45E-08,1.06E-12,1.94E-06
0.82126516,-0.98086393,1.0016621,0.90380037,0.18189633,1.0023996,2.03E-06,1.38E-08,1.07E-12,1.98E-06
0.83212215,-0.98086393,1.0016568,0.90436256,0.18163307,1.0023788,6.04E-07,1.06E-07,1.09E-12,4.67E-07
0.84297913,-0.98086393,1.0016516,0.90490931,0.18138078,1.0023737,1.83E-05,4.71E-07,1.10E-12,-2.25E-06
0.85383612,-0.98086393,1.0016388,0.90546638,0.18113798,1.0023546,1.03E-05,1.97E-07,1.11E-12,-1.16E-06
0.86469311,-0.98086393,1.0016309,0.90601832,0.1809019,1.0023381,1.02E-05,2.96E-07,1.11E-12,-2.29E-06
0.87555009,-0.98086393,1.0016153,0.90657794,0.18067613,1.002328,5.26E-07,2.39E-08,1.12E-12,1.60E-06
0.88640708,-0.98086393,1.0016021,0.90712672,0.1804577,1.0023183,8.52E-07,3.71E-08,1.13E-12,1.39E-06
0.89726406,-0.98086393,1.0015936,0.90767217,0.18024641,1.0022922,6.85E-06,0,1.13E-12,2.39E-06
0.90812105,-0.98086393,1.0015898,0.90821159,0.18004163,1.0022846,2.14E-06,3.33E-07,1.13E-12,-8.79E-07
0.91897804,-0.98086393,1.0015821,0.90873992,0.17984471,1.0022743,1.88E-05,9.45E-07,1.13E-12,-4.34E-06
0.92983502,-0.98086393,1.0015724,0.90928483,0.17965724,1.0022492,4.24E-06,7.17E-07,1.12E-12,-1.22E-06
0.94069201,-0.98086393,1.001552,0.90982419,0.17947783,1.0022397,4.55E-06,6.43E-08,1.10E-12,1.87E-06
0.95154905,-0.98086393,1.0015421,0.91034824,0.1793043,1.002233,3.70E-06,1.54E-07,1.08E-12,1.35E-06
0.96240604,-0.98086393,1.0015318,0.91087663,0.1791373,1.002206,7.94E-08,5.03E-09,1.06E-12,1.22E-06
0.97326303,-0.98086393,1.0015285,0.91139162,0.17897516,1.0021958,6.59E-06,2.84E-07,1.03E-12,-4.46E-07
0.98412001,-0.98086393,1.001524,0.91191363,0.17882052,1.0021869,3.09E-08,5.03E-07,1.00E-12,-1.98E-06
0.994977,-0.98086393,1.0015106,0.91242731,0.17867416,1.0021619,3.10E-06,1.16E-07,9.72E-13,-1.07E-07
1.005834,-0.98086393,1.0015055,0.91293317,0.17853127,1.0021521,1.67E-05,6.05E-07,9.40E-13,-3.77E-06
1.016691,-0.98086393,1.0014863,0.91345274,0.17839725,1.0021468,0,7.55E-08,9.09E-13,-2.15E-07
1.027548,-0.98086393,1.001474,0.9139635,0.17826916,1.0021236,0,1.23E-07,8.80E-13,1.33E-06
1.0384049,-0.98086393,1.0014662,0.91446292,0.17814401,1.0021083,4.38E-07,1.76E-07,8.52E-13,4.28E-07
1.0492619,-0.98086393,1.0014639,0.91495991,0.17802635,1.0021038,2.33E-06,6.22E-08,8.27E-13,-1.32E-07
0.017847793,-0.97064418,1.0020088,0.87457305,0.23195204,1.0029067,2.49E-05,1.84E-07,2.58E-13,-2.26E-06
0.028704785,-0.97064418,1.0020138,0.87446481,0.23097168,1.0029136,1.25E-05,1.31E-06,2.82E-13,-3.68E-06
0.039561775,-0.97064418,1.00202,0.87437445,0.22999239,1.0029204,7.44E-06,4.08E-07,3.06E-13,-1.68E-06
0.050418768,-0.97064418,1.0020241,0.87430114,0.22901355,1.0029299,8.24E-06,3.48E-08,3.28E-13,9.53E-07
0.061275758,-0.97064418,1.0020275,0.87424994,0.2280315,1.0029356,7.29E-06,6.72E-09,3.49E-13,-2.80E-09
0.072132751,-0.97064418,1.0020312,0.87422079,0.22704864,1.0029405,1.14E-06,1.35E-08,3.68E-13,1.05E-07
0.082989737,-0.97064418,1.002036,0.87421411,0.2260669,1.0029457,0,3.17E-07,3.85E-13,4.30E-07
0.093846731,-0.97064418,1.0020404,0.87422252,0.22508825,1.0029509,2.79E-06,2.70E-07,3.99E-13,5.30E-07
0.10470372,-0.97064418,1.0020436,0.87425154,0.22411126,1.0029553,1.99E-06,0,4.12E-13,2.23E-06
0.11556071,-0.97064418,1.0020466,0.87430203,0.22313468,1.0029625,1.24E-07,0,4.23E-13,1.63E-06
0.1264177,-0.97064418,1.0020492,0.87437868,0.22216235,1.0029675,0,0,4.32E-13,2.24E-06
0.1372747,-0.97064418,1.0020598,0.874457,0.22119322,1.0029708,2.42E-06,0,4.40E-13,2.14E-07
0.14813168,-0.97064418,1.0020628,0.87456936,0.22022922,1.0029739,1.16E-07,3.38E-09,4.47E-13,2.33E-06
0.15898867,-0.97064418,1.0020647,0.87470317,0.21926786,1.0029769,0,5.90E-07,4.52E-13,2.66E-07
0.16984567,-0.97064418,1.0020665,0.87485039,0.21831596,1.0029795,1.79E-07,1.23E-07,4.58E-13,2.05E-06
0.18070266,-0.97064418,1.0020683,0.87501365,0.21736582,1.0029812,1.37E-06,6.30E-07,4.63E-13,-4.60E-07
0.19155966,-0.97064418,1.0020697,0.87519896,0.21642445,1.0029832,1.45E-06,4.12E-07,4.70E-13,4.72E-07
0.20241664,-0.97064418,1.0020709,0.87540203,0.21549053,1.0029851,4.95E-06,6.91E-09,4.79E-13,4.96E-08
0.21327363,-0.97064418,1.002067,0.87562144,0.21456333,1.0029846,4.92E-06,4.70E-09,4.90E-13,6.54E-07
0.22413063,-0.97064418,1.0020653,0.87586206,0.21364327,1.002985,1.21E-06,6.23E-08,5.06E-13,4.63E-07
