x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2];Uncertainty V [m/s]
-5.21348;11.4474;4.08874;0.474871;0.00413435;0.00231801;0.00784725;0.0063197
-4.85636;11.4474;4.09114;0.480858;0.00398501;0.00190043;0.00853712;0.00646068
-4.49924;11.4474;4.09512;0.487159;0.00345799;0.00128232;0.00800704;0.00618197
-4.14212;11.4474;4.09715;0.490073;0.00329393;0.000880917;0.00733814;0.00595317
-3.78501;11.4474;4.09953;0.487161;0.00356035;0.000954813;0.00743991;0.00605537
-3.42789;11.4474;4.10705;0.48154;0.00414124;0.00134513;0.00622663;0.00587874
-3.07077;11.4474;4.11362;0.483444;0.00424089;0.00128515;0.00458724;0.00542468
-2.71365;11.4474;4.11428;0.486889;0.0038614;0.000754045;0.0036992;0.00502016
-2.35653;11.4474;4.11329;0.487916;0.00398369;0.000835633;0.00326533;0.00491563
-1.99941;11.4474;4.11558;0.487212;0.00500854;0.000899431;0.00266516;0.00505757
-1.6423;11.4474;4.12061;0.488873;0.00508799;0.000537833;0.00237414;0.00498736
-1.28518;11.4474;4.12368;0.495396;0.00408264;0.000377474;0.00255943;0.0047132
-0.928059;11.4474;4.1336;0.500756;0.00374932;0.00034311;0.00278415;0.00467451
-0.570941;11.4474;4.14699;0.498968;0.00397934;0.000222194;0.00377386;0.0050837
-0.213822;11.4474;4.15567;0.50143;0.00417739;0.000375856;0.00467468;0.00543202
0.143296;11.4474;4.15704;0.500989;0.00410481;0.000305872;0.00544753;0.0056428
0.500414;11.4474;4.15807;0.497936;0.00367821;0.000580391;0.00559539;0.00555986
0.857533;11.4474;4.15254;0.493451;0.00363202;0.00153678;0.00639911;0.00578248
1.21465;11.4474;4.14236;0.485078;0.00393461;0.00218584;0.0071914;0.00608989
1.57177;11.4474;4.13637;0.476748;0.00337143;0.00194224;0.00675191;0.005809
1.92889;11.4474;4.13207;0.470044;0.0028883;0.00183819;0.00654596;0.00560781
2.28601;11.4474;4.12905;0.468498;0.00295401;0.00175572;0.00609412;0.00549185
2.64312;11.4474;4.13008;0.46769;0.00300016;0.00163059;0.00594303;0.00545991
3.00024;11.4474;4.13528;0.466651;0.00268902;0.00132692;0.00505498;0.00508068
3.35736;11.4474;4.14099;0.463934;0.00295362;0.00109589;0.00499116;0.00514612
3.71448;11.4474;4.14556;0.462395;0.00342099;0.000984687;0.00519016;0.00535759
4.0716;11.4474;4.14804;0.461048;0.00401362;0.000802057;0.005007;0.0054835
4.42872;11.4474;4.15303;0.460862;0.00528779;0.00103159;0.0049728;0.00584824
4.78584;11.4474;4.15494;0.459763;0.0054755;0.00120354;0.00424699;0.00569283
5.14295;11.4474;4.15189;0.45548;0.00494964;0.000365907;0.00386463;0.00542042
5.50007;11.4474;4.14696;0.4512;0.00410302;-0.000412758;0.00374425;0.00511444
5.85719;11.4474;4.15403;0.447044;0.00424658;-0.000408811;0.00348177;0.00507555
6.21431;11.4474;4.18058;0.447508;0.00496724;-0.000361574;0.00304518;0.00517662
6.57143;11.4474;4.205;0.4519;0.00517681;-0.000433113;0.00317851;0.00527741
6.92855;11.4474;4.2158;0.457012;0.00517125;-0.00065787;0.00331749;0.00531938
7.28566;11.4474;4.20872;0.459926;0.00482529;-0.000726359;0.0034785;0.00526111
7.64278;11.4474;4.20151;0.460322;0.00445598;-0.000752087;0.00360643;0.00518408
7.9999;11.4474;4.1951;0.454561;0.00494516;-0.00098977;0.00474653;0.00568381
8.35702;11.4474;4.19177;0.448677;0.00453934;-0.00144661;0.00544689;0.00576953
8.71414;11.4474;4.18866;0.443848;0.00381715;-0.00114588;0.00493843;0.00540234
9.07126;11.4474;4.18514;0.437842;0.00359899;-0.000618833;0.00464973;0.00524364
9.42837;11.4474;4.18908;0.430204;0.00383876;6.73083e-05;0.00460736;0.00530601
9.78549;11.4474;4.1947;0.43044;0.0044974;0.000384631;0.00403179;0.00533204
10.1426;11.4474;4.1963;0.436394;0.00536732;0.000391081;0.00381124;0.00553129
10.4997;11.4474;4.19989;0.442809;0.00621475;0.000106212;0.00412924;0.00587196
10.8568;11.4474;4.20469;0.45067;0.0078681;-0.00074607;0.00453824;0.00643074
11.214;11.4474;4.20849;0.45331;0.00788217;-0.000404639;0.00447127;0.00641702
11.5711;11.4474;4.20966;0.448723;0.00732858;0.000331889;0.00525731;0.00647711
11.9282;11.4474;4.20755;0.440411;0.00680485;0.000440381;0.00532984;0.00637058
12.2853;11.4474;4.20656;0.431042;0.0055968;-0.000101795;0.00572731;0.00615413
12.6424;11.4474;4.20459;0.424067;0.00448615;-0.000204853;0.0055266;0.00577718
12.9996;11.4474;4.21198;0.416027;0.00417195;0.000435415;0.00634411;0.0059206
13.3567;11.4474;4.21958;0.406642;0.00314927;0.000923256;0.00677594;0.00575187
13.7138;11.4474;4.22402;0.407216;0.00255779;0.00118981;0.00670573;0.00555683
14.0709;11.4474;4.22729;0.414812;0.00271073;0.00041194;0.00550473;0.00523305
14.428;11.4474;4.22653;0.424323;0.00322615;-0.000493678;0.00438336;0.00503637
14.7852;11.4474;4.23124;0.430962;0.00338234;-0.000854399;0.00436979;0.00508335
15.1423;11.4474;4.23857;0.427247;0.00325158;-0.000521776;0.00543501;0.00538101
15.4994;11.4474;4.24543;0.41966;0.00291557;-0.000106872;0.0066876;0.00565779
15.8565;11.4474;4.24832;0.416171;0.00265862;-0.000191218;0.00809037;0.00598581
16.2136;11.4474;4.24668;0.415672;0.00243629;-0.000578061;0.00930613;0.00625631
16.5707;11.4474;4.24158;0.418155;0.00358231;-0.00173488;0.00995263;0.0067281
16.9279;11.4474;4.23298;0.417377;0.00468853;-0.00233702;0.008713;0.00669486
17.285;11.4474;4.22292;0.408339;0.00393721;-0.00143841;0.00639045;0.00587713
17.6421;11.4474;4.22388;0.391083;0.00300609;-0.000669504;0.00447534;0.0049938
17.9992;11.4474;4.22975;0.367351;0.00236387;-0.000319089;0.00326489;0.00433157
18.3563;11.4474;4.22813;0.352953;0.00223824;-0.000625006;0.00260409;0.0040176
18.7135;11.4474;4.22302;0.350334;0.00241929;-0.000859257;0.00248606;0.00404366
19.0706;11.4474;4.21645;0.353081;0.00309497;-0.00107977;0.00274924;0.00441369
19.4277;11.4474;4.21001;0.357696;0.00344899;-0.00117498;0.00341486;0.00478325
19.7848;11.4474;4.21315;0.362397;0.00343016;-0.0012874;0.00378418;0.00490385
20.1419;11.4474;4.22077;0.365389;0.00336496;-0.00139289;0.00443458;0.00509887
20.499;11.4474;4.22461;0.365352;0.00306774;-0.00149296;0.00498164;0.00517989
20.8562;11.4474;4.2259;0.362743;0.00252547;-0.00130615;0.00477586;0.00493333
21.2133;11.4474;4.23196;0.363284;0.00225201;-0.000934947;0.00435803;0.00469398
21.5704;11.4474;4.24469;0.365205;0.00214599;-0.000744996;0.00394719;0.00450673
21.9275;11.4474;4.25883;0.364738;0.00257121;-0.000772591;0.00416592;0.00473889
22.2846;11.4474;4.26813;0.363292;0.00336646;-0.00168942;0.00521432;0.00535707
22.6418;11.4474;4.27231;0.362817;0.00396857;-0.00240997;0.00597089;0.00576561
22.9989;11.4474;4.26805;0.358596;0.0040075;-0.00295127;0.00690934;0.00603237
23.356;11.4474;4.26751;0.35189;0.00331492;-0.00267979;0.00731054;0.00595132
