x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
-3.75129;11.1522;7.20089;0.758768;0.00108608;-0.000277024;0.00100887
-3.3947;11.1522;7.20599;0.751692;0.0014607;-0.000289651;0.00116694
-3.03812;11.1522;7.21168;0.743178;0.00136344;-0.000320724;0.00120637
-2.68153;11.1522;7.21652;0.742682;0.00110402;-0.000341434;0.00112639
-2.32494;11.1522;7.21906;0.750086;0.00108808;-0.000317892;0.00119258
-1.96836;11.1522;7.22428;0.758343;0.0011901;-0.000277325;0.00121313
-1.61177;11.1522;7.23108;0.765608;0.00127338;-0.000210724;0.0011749
-1.25518;11.1522;7.23737;0.772431;0.00127147;-0.000258905;0.00112369
-0.898594;11.1522;7.24061;0.77863;0.00125007;-0.000295544;0.00115087
-0.542006;11.1522;7.24177;0.779118;0.00112599;-0.000336868;0.00131507
-0.185419;11.1522;7.24249;0.772841;0.00104444;-0.00025129;0.00134689
0.171168;11.1522;7.2449;0.762705;0.00128249;-0.000142319;0.00135192
0.527755;11.1522;7.24929;0.757968;0.00145585;-0.000247686;0.00143635
0.884342;11.1522;7.25271;0.756836;0.00139857;-0.000321634;0.00157208
1.24093;11.1522;7.25343;0.753973;0.001361;-0.000460034;0.00172044
1.59752;11.1522;7.25508;0.750216;0.0015822;-0.000487849;0.00172278
1.9541;11.1522;7.25686;0.750742;0.00169826;-0.000528062;0.00185104
2.31069;11.1522;7.25577;0.750534;0.00204;-0.00041709;0.00198466
2.66728;11.1522;7.26243;0.752931;0.00211288;-0.000458269;0.00195959
3.02387;11.1522;7.27405;0.755002;0.00214301;-0.000413535;0.00169846
3.38045;11.1522;7.28505;0.756;0.0021205;-0.000383757;0.0016148
3.73704;11.1522;7.29408;0.753714;0.00171387;-0.000353615;0.00181823
4.09363;11.1522;7.30266;0.744477;0.0016347;-0.000253294;0.00182883
4.45021;11.1522;7.31213;0.732633;0.0017272;-0.000299825;0.00185959
4.8068;11.1522;7.3207;0.721197;0.00169106;-0.000430573;0.00167489
5.16339;11.1522;7.32532;0.715912;0.00160694;-0.000404782;0.00171695
5.51998;11.1522;7.32991;0.717809;0.00194909;-0.000614544;0.00183993
5.87656;11.1522;7.33555;0.720877;0.00230957;-0.000841283;0.00184556
6.23315;11.1522;7.34254;0.719449;0.00257599;-0.000844005;0.00187019
6.58974;11.1522;7.34413;0.716322;0.00267514;-0.000689445;0.00208223
6.94632;11.1522;7.34023;0.715053;0.00264471;-0.000501275;0.00206541
7.30291;11.1522;7.33379;0.723097;0.00275992;-0.000458587;0.00236122
7.6595;11.1522;7.32643;0.735019;0.0025605;-0.000503485;0.0022314
8.01609;11.1522;7.32726;0.744132;0.00246282;-0.000374088;0.00212044
8.37267;11.1522;7.33702;0.746811;0.00256432;-0.000403928;0.00238582
8.72926;11.1522;7.34703;0.739971;0.00250346;-0.000311106;0.00222098
9.08585;11.1522;7.35817;0.72207;0.00252892;-0.000647762;0.00249692
9.44244;11.1522;7.36395;0.705029;0.00248089;-0.000709857;0.00261868
9.79902;11.1522;7.36154;0.699984;0.00263007;-0.000696151;0.00238218
10.1556;11.1522;7.35559;0.70122;0.00301771;-0.00062135;0.00247014
10.5122;11.1522;7.35218;0.70451;0.00405506;-0.000730384;0.00255624
10.8688;11.1522;7.35663;0.701135;0.00472731;-0.000550419;0.00268479
11.2254;11.1522;7.35959;0.688833;0.00569719;-0.000380923;0.00300265
11.582;11.1522;7.35586;0.67781;0.00547429;-0.000201615;0.00272081
11.9385;11.1522;7.35717;0.670384;0.00484895;-5.53607e-05;0.00245317
12.2951;11.1522;7.36208;0.665797;0.00534654;-4.54576e-05;0.00219642
12.6517;11.1522;7.36675;0.661225;0.00601432;0.000216437;0.00239724
13.0083;11.1522;7.37503;0.661676;0.00676755;0.000301666;0.00244721
13.3649;11.1522;7.3923;0.670176;0.00644211;0.00017781;0.0025012
13.7215;11.1522;7.40604;0.684013;0.00620554;-0.000585658;0.00239304
14.0781;11.1522;7.40258;0.694436;0.00614574;-0.000820159;0.00213868
14.4347;11.1522;7.38664;0.694766;0.00521918;-0.000580134;0.00219599
14.7912;11.1522;7.37867;0.688008;0.00511594;-0.00051358;0.00207778
15.1478;11.1522;7.38591;0.677988;0.00505968;-0.000596638;0.00188857
15.5044;11.1522;7.40411;0.667509;0.0049398;-0.00050081;0.00195865
15.861;11.1522;7.41807;0.659201;0.00479457;-0.000537934;0.00204925
16.2176;11.1522;7.42368;0.65071;0.00483854;-0.000635996;0.0022763
16.5742;11.1522;7.42277;0.643882;0.00469017;-0.000516286;0.00229468
16.9308;11.1522;7.41938;0.639936;0.00400177;-0.000463924;0.00226795
17.2874;11.1522;7.42268;0.636688;0.00351783;-0.000556315;0.00255759
17.6439;11.1522;7.42955;0.634018;0.00371918;-0.000843285;0.0025856
18.0005;11.1522;7.4345;0.6297;0.00403465;-0.00104692;0.00239672
18.3571;11.1522;7.43858;0.626894;0.00490029;-0.00131584;0.00239442
18.7137;11.1522;7.44229;0.625212;0.00563031;-0.00132126;0.00230895
19.0703;11.1522;7.44347;0.624183;0.00616166;-0.00164563;0.00272614
19.4269;11.1522;7.44504;0.622686;0.00661572;-0.0017658;0.00292869
19.7835;11.1522;7.44097;0.619049;0.0065364;-0.0011015;0.00278206
20.1401;11.1522;7.43317;0.609963;0.00622295;-0.000212573;0.00297944
20.4966;11.1522;7.43054;0.593026;0.00568606;0.00030974;0.00373619
20.8532;11.1522;7.43533;0.57361;0.00543284;0.00042935;0.00448317
21.2098;11.1522;7.43817;0.560562;0.00495255;0.000483702;0.00443731
21.5664;11.1522;7.43849;0.557033;0.00379145;0.000323989;0.00427407
21.923;11.1522;7.43925;0.566053;0.00334742;7.00465e-06;0.00417757
22.2796;11.1522;7.44087;0.581092;0.00363453;-0.000334589;0.00402672
22.6362;11.1522;7.446;0.587554;0.00459547;-0.000287089;0.00422311
22.9927;11.1522;7.45039;0.587669;0.00549203;-9.69211e-05;0.00438966
23.3493;11.1522;7.45149;0.587077;0.00558847;0.000259636;0.00436263
23.7059;11.1522;7.44919;0.586452;0.00524094;7.67875e-05;0.00456353
24.0625;11.1522;7.44585;0.579956;0.00465377;-0.000255991;0.00474962
24.4191;11.1522;7.43839;0.570509;0.00395369;-0.000729664;0.00478868
24.7757;11.1522;7.43631;0.56595;0.00349763;-0.0010763;0.0052421
25.1323;11.1522;7.44127;0.564585;0.00402102;-0.00135522;0.00574868
25.4889;11.1522;7.45325;0.565979;0.00487332;-0.00159146;0.0060113
25.8454;11.1522;7.47451;0.555548;0.00599609;-0.00190014;0.006033
26.202;11.1522;7.49563;0.53615;0.00719531;-0.0016924;0.00530492
26.5586;11.1522;7.50965;0.524218;0.00761767;-0.000819909;0.00459123
26.9152;11.1522;7.51486;0.523108;0.00891283;-0.000286427;0.0045765
27.2718;11.1522;7.51176;0.526735;0.00937702;-0.000101993;0.00482792
27.6284;11.1522;7.5074;0.530299;0.00821541;-2.56886e-05;0.00530754
27.985;11.1522;7.50273;0.533528;0.00757975;-0.000608691;0.00555611
28.3416;11.1522;7.49904;0.531888;0.00771201;-0.00119446;0.00561741
28.6981;11.1522;7.49882;0.530684;0.00900042;-0.00130429;0.00576297
29.0547;11.1522;7.49785;0.526325;0.00875167;-0.00119983;0.00607124
29.4113;11.1522;7.50516;0.521134;0.00699853;-0.000823742;0.00635955
29.7679;11.1522;7.51739;0.516357;0.00608227;-0.000693575;0.00676924
30.1245;11.1522;7.52766;0.513601;0.00645035;-0.000443014;0.00754357
30.4811;11.1522;7.53565;0.509511;0.00735147;-0.000378121;0.00799716
30.8377;11.1522;7.55224;0.503362;0.00756412;0.000894911;0.00902709
31.1943;11.1522;7.57491;0.491552;0.0085416;0.00242934;0.0114551
31.5508;11.1522;7.57937;0.481959;0.00919139;0.0030919;0.0118634
31.9074;11.1522;7.56808;0.475829;0.00825467;0.00255162;0.0113854
32.264;11.1522;7.55605;0.475687;0.00803414;0.00235334;0.0115973
32.6206;11.1522;7.54539;0.477161;0.00869137;0.00308652;0.012829
32.9772;11.1522;7.54789;0.485368;0.0074026;0.00333203;0.0131151
33.3338;11.1522;7.55691;0.489926;0.00675506;0.00331311;0.0114562
33.6904;11.1522;7.56021;0.488566;0.00692695;0.00309562;0.00960205
34.047;11.1522;7.55898;0.476581;0.00823045;0.00312278;0.0100344
34.4035;11.1522;7.56352;0.46707;0.00953391;0.00300865;0.00957901
34.7601;11.1522;7.56759;0.463807;0.00948282;0.0017382;0.0091094
35.1167;11.1522;7.56487;0.460229;0.00728407;0.000804797;0.00934501
35.4733;11.1522;7.55481;0.457528;0.0069807;0.00134601;0.00938202
35.8299;11.1522;7.54415;0.454342;0.00850567;0.00263879;0.00993565
36.1865;11.1522;7.53953;0.451885;0.010663;0.00451008;0.0117533
36.5431;11.1522;7.55493;0.458041;0.0103955;0.00516342;0.012938
36.8996;11.1522;7.5732;0.461842;0.00855256;0.00484956;0.0129568
37.2562;11.1522;7.58015;0.457344;0.00644961;0.00394827;0.0122427
37.6128;11.1522;7.57531;0.440676;0.00528302;0.00256561;0.0107947
37.9694;11.1522;7.56768;0.422903;0.00473318;0.00184372;0.010104
38.326;11.1522;7.56226;0.412992;0.0048953;0.00195571;0.0104729
38.6826;11.1522;7.56172;0.409482;0.00534335;0.00174068;0.0108054
39.0392;11.1522;7.5642;0.403574;0.00651756;0.00138285;0.0108564
39.3958;11.1522;7.56732;0.396819;0.00704681;0.000596384;0.00977141
39.7523;11.1522;7.57928;0.39788;0.00676415;6.49831e-05;0.0095454
40.1089;11.1522;7.59078;0.399957;0.00750595;-0.000432255;0.0101913
40.4655;11.1522;7.59396;0.400595;0.00774136;-0.00119595;0.01012
40.8221;11.1522;7.59226;0.400011;0.00739815;-0.00152494;0.0096966
41.1787;11.1522;7.59525;0.399828;0.00679061;-0.00190297;0.00840151
41.5353;11.1522;7.60379;0.402543;0.00679885;-0.00222939;0.00754336
41.8919;11.1522;7.62066;0.402556;0.00703024;-0.0022999;0.00751676
42.2485;11.1522;7.63918;0.396687;0.00693775;-0.00123437;0.00772897
42.605;11.1522;7.65074;0.393927;0.00602725;-0.000399334;0.00826268
42.9616;11.1522;7.65668;0.394266;0.00688102;0.00021921;0.00939563
43.3182;11.1522;7.66421;0.387479;0.00764818;0.00032822;0.0104474
43.6748;11.1522;7.67488;0.381366;0.00705574;0.000107207;0.0119773
44.0314;11.1522;7.67431;0.373799;0.00686424;-0.000571168;0.0128416
44.388;11.1522;7.65819;0.361586;0.00729987;-0.000900916;0.0121244
44.7446;11.1522;7.64877;0.341074;0.00690541;-0.00100394;0.0109902
45.1012;11.1522;7.6571;0.32183;0.00672801;-0.000281368;0.00986262
45.4577;11.1522;7.67403;0.314499;0.00750631;0.00131262;0.00995817
-44.7588;10.7956;6.899;0.554946;0.0057639;0.00096683;0.00436307
-44.4022;10.7956;6.90077;0.555894;0.00321036;0.000655391;0.00191535
-44.0456;10.7956;6.90264;0.561435;0.00350531;0.0003864;0.00163541
-43.6891;10.7956;6.90717;0.56662;0.00367849;0.000400065;0.00168109
-43.3325;10.7956;6.90882;0.573432;0.00399598;0.000171596;0.00151222
-42.9759;10.7956;6.91015;0.578605;0.00441027;0.000442096;0.00151271
-42.6193;10.7956;6.90659;0.583217;0.00492939;0.000724295;0.00157243
-42.2627;10.7956;6.90697;0.589357;0.0049177;0.000647747;0.00160423
-41.9061;10.7956;6.9163;0.595354;0.00422528;0.000669537;0.00138433
-41.5495;10.7956;6.92364;0.598462;0.0036182;0.000526937;0.00109767
-41.1929;10.7956;6.92575;0.599511;0.00409962;0.000476574;0.00101387
-40.8364;10.7956;6.92875;0.597899;0.00410115;0.000461778;0.00112933
-40.4798;10.7956;6.92661;0.596878;0.00337102;0.000286874;0.00136874
-40.1232;10.7956;6.92245;0.598984;0.00359215;0.000311592;0.00156293
-39.7666;10.7956;6.92173;0.60453;0.00335104;0.000350211;0.00174861
-39.41;10.7956;6.92117;0.607944;0.00277977;0.000324517;0.00187953
-39.0534;10.7956;6.92318;0.611609;0.00256431;0.000112224;0.00168054
