x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
39.7834;11.4474;4.39851;0.262997;0.00177787;-0.00126139;0.00276295
40.1406;11.4474;4.38694;0.270893;0.00127296;-0.000807693;0.00154306
40.4977;11.4474;4.38732;0.273644;0.00100939;-0.000275402;0.00217248
40.8548;11.4474;4.39458;0.276122;0.000881114;0.000244962;0.00518005
41.2119;11.4474;4.40752;0.282901;0.00102173;0.000412063;0.0065575
41.569;11.4474;4.42253;0.285157;0.00143414;0.00068373;0.00531532
41.9261;11.4474;4.43678;0.289213;0.0018319;0.000710571;0.00472648
42.2833;11.4474;4.45087;0.288134;0.0015964;0.00042768;0.00366727
42.6404;11.4474;4.46119;0.272654;0.0011537;0.000194326;0.00335506
42.9975;11.4474;4.46612;0.255345;0.00139392;-0.000283237;0.0039746
43.3546;11.4474;4.47216;0.240746;0.00149066;-0.000287243;0.0041993
43.7117;11.4474;4.47252;0.241722;0.00148094;-6.57514e-05;0.00407031
44.0689;11.4474;4.47228;0.242915;0.00199287;0.000331572;0.00337275
44.426;11.4474;4.46978;0.23982;0.00168609;0.000162284;0.00263009
44.7831;11.4474;4.46866;0.242319;0.00129609;-7.41849e-05;0.00256664
45.1402;11.4474;4.4685;0.239937;0.000661962;-6.67239e-05;0.00316139
45.4973;11.4474;4.46774;0.235153;0.000970821;4.69856e-05;0.00265873
45.8545;11.4474;4.46517;0.219559;0.00293911;-1.58525e-05;0.00311853
-44.8536;11.0903;3.92411;0.309313;0.00944742;0.00622584;0.00986079
-44.4965;11.0903;3.91014;0.306828;0.00937047;0.00574276;0.00652532
-44.1394;11.0903;3.90216;0.31695;0.00980266;0.00582817;0.00567856
-43.7823;11.0903;3.89577;0.331449;0.00637724;0.00285973;0.00431626
-43.4251;11.0903;3.90185;0.332277;0.0119861;0.00501138;0.00672481
-43.068;11.0903;3.88237;0.305418;0.0152858;0.0067863;0.00779841
-42.7109;11.0903;3.86839;0.307514;0.0121088;0.00554015;0.00928876
-42.3538;11.0903;3.88747;0.34663;0.00859399;0.0043254;0.00993646
-41.9967;11.0903;3.91882;0.378577;0.00731729;0.00549366;0.00855528
-41.6396;11.0903;3.9286;0.37741;0.00428606;0.00353605;0.0055519
-41.2824;11.0903;3.9236;0.36605;0.00667445;0.00443032;0.00569066
-40.9253;11.0903;3.8956;0.355479;0.0103486;0.0061517;0.00946049
-40.5682;11.0903;3.88097;0.341638;0.00945909;0.00347232;0.00756362
-40.2111;11.0903;3.86529;0.321188;0.00719723;0.00285303;0.00600557
-39.854;11.0903;3.85134;0.308033;0.00580687;0.00345122;0.0049096
-39.4968;11.0903;3.8669;0.326837;0.00416994;0.00151983;0.00272247
-39.1397;11.0903;3.89827;0.353646;0.00395216;0.000428833;0.00509635
-38.7826;11.0903;3.90956;0.366124;0.00441075;-0.000801135;0.00340453
-38.4255;11.0903;3.90876;0.366835;0.00327794;-8.02494e-05;0.00173219
-38.0684;11.0903;3.88984;0.36969;0.00507011;0.000594561;0.00115468
-37.7113;11.0903;3.87907;0.378865;0.00689106;0.000507361;0.00165254
-37.3541;11.0903;3.87094;0.379607;0.00674879;-0.00044578;0.00263575
-36.997;11.0903;3.9154;0.392984;0.00698072;-0.000633841;0.00196743
-36.6399;11.0903;3.94751;0.389108;0.00509125;-0.000432754;0.0018387
-36.2828;11.0903;3.92351;0.379922;0.00464653;0.000943534;0.00448566
-35.9257;11.0903;3.89575;0.398607;0.00497621;0.00158991;0.0044403
-35.5685;11.0903;3.88669;0.416461;0.00489272;-0.000820417;0.00430127
-35.2114;11.0903;3.87692;0.414738;0.00664712;-0.001049;0.0024455
-34.8543;11.0903;3.87226;0.421695;0.00543541;-0.000525633;0.00228773
-34.4972;11.0903;3.87164;0.43677;0.00416128;0.00142997;0.00178195
-34.1401;11.0903;3.87642;0.42303;0.00329088;0.00142942;0.00261401
